element_type,osmid,name,geometry,college,food_court,hospital,parking,restaurant,university,latitude,longitude
node,1834746841,Java House,POINT (-0.1148308 51.5602783),0,0,0,0,1,0,,
node,1836362282,Mama Pho,POINT (-0.1763924 51.4937997),0,0,0,0,1,0,,
node,1842096025,Spaghetti House,POINT (-0.138603 51.5569053),0,0,0,0,1,0,,
node,1843985393,Canaan Restaurant,POINT (-0.0940919 51.4799732),0,0,0,0,1,0,,
node,1843994316,Emukay,POINT (-0.0943687 51.4824214),0,0,0,0,1,0,,
node,1843996212,Red Sea,POINT (-0.094379 51.4825876),0,0,0,0,1,0,,
node,1843999774,Legacy,POINT (-0.0941853 51.4834221),0,0,0,0,1,0,,
node,1844004049,Abokobi Ghanaian Restaurant,POINT (-0.093892 51.4837862),0,0,0,0,1,0,,
node,1844622462,Guido's,POINT (-0.107769 51.51714),0,0,0,0,1,0,,
node,1852958542,Palace,POINT (-0.255765 51.39927),0,0,0,0,1,0,,
node,1852958557,Pizza Hut,POINT (-0.255362 51.3992477),0,0,0,0,1,0,,
node,1852968860,Al Forno,POINT (-0.2559431 51.4004705),0,0,0,0,1,0,,
node,1852981364,Lal Akash,POINT (-0.2566161 51.402656),0,0,0,0,1,0,,
node,1852981365,Nori,POINT (-0.2565711 51.4024263),0,0,0,0,1,0,,
node,1852986176,K Town,POINT (-0.2571478 51.4041531),0,0,0,0,1,0,,
node,1852989076,Royal Gurkha,POINT (-0.2572873 51.4046434),0,0,0,0,1,0,,
node,1852990179,The Work Express,POINT (-0.2570514 51.4048625),0,0,0,0,1,0,,
node,1857972376,Salvador & Amanda,POINT (-0.1277217 51.5119534),0,0,0,0,1,0,,
node,1861712601,Queens British Steak House,POINT (0.0197937 51.5769446),0,0,0,0,1,0,,
node,1861753245,Sofra Grill and Restaurant,POINT (-0.1908146 51.3580438),0,0,0,0,1,0,,
node,1863069052,Sabir Tandoori,POINT (0.0146235 51.3907345),0,0,0,0,1,0,,
node,1872601862,Nino's,POINT (0.0232434 51.5949906),0,0,0,0,1,0,,
node,1872601863,Thai Street,POINT (0.0231429 51.5949989),0,0,0,0,1,0,,
node,1888837642,Nando's,POINT (-0.0943964 51.3746781),0,0,0,0,1,0,,
node,1921972329,Basilico,POINT (-0.1594484 51.4647247),0,0,0,0,1,0,,
node,1926865824,Rose Garden,POINT (-0.0361444 51.5496827),0,0,0,0,1,0,,
node,1926866011,Imperial Flavors (East),POINT (-0.0362167 51.549665),0,0,0,0,1,0,,
node,1930501724,Joy,POINT (-0.2146404 51.5266452),0,0,0,0,1,0,,
node,1931944071,Raj of Kensington,POINT (-0.1971027 51.4993121),0,0,0,0,1,0,,
node,1932198670,Pho,POINT (-0.1654488 51.4609376),0,0,0,0,1,0,,
node,1932839532,Pi,POINT (-0.162809 51.4611077),0,0,0,0,1,0,,
node,1932839535,Little Bird,POINT (-0.1625605 51.4608881),0,0,0,0,1,0,,
node,1932839539,Humble Grape,POINT (-0.1627322 51.4611135),0,0,0,0,1,0,,
node,1933013114,,POINT (-0.1629996 51.4637367),0,0,0,1,0,0,,
node,1933542565,Seabream Fish Bar,POINT (0.0877074 51.3602265),0,0,0,0,1,0,,
