,latitude,longitude,college,food_court,hospital,parking,restaurant,university,charging_station
513,51.517474,-0.15779,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6639,51.6311146,-0.0960258,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3737,51.3332622,-0.2691363,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6733,51.4966332,-0.133851,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1217,51.4251432,-0.034318900000016,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5644,51.5885149,-0.0314505,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6549,51.322062,-0.2033734,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7870,51.5621309,-0.1100135,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6384,51.5112652,-0.142892,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2887,51.552571,-0.190111,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7267,51.5241292,-0.1322933,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5535,51.4550282,-0.1929234,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1447,51.488046,-0.316619,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4546,51.5477513,-0.1812374,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5196,51.5177171,-0.0773817,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1614,51.395332,-0.20118,0.0,0.0,0.0,0.0,0.0,0.0,1.0
218,51.489572,-0.189545,0.0,0.0,0.0,0.0,1.0,0.0,1.0
941,51.4461179,-0.0243340999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3777,51.4833465,-0.1694677,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5872,51.4733841,-0.3883578,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2253,51.425647,-0.315366,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8037,51.43963,-0.19117,0.0,0.0,0.0,1.0,0.0,0.0,0.0
351,51.50497,-0.1511809999999999,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4268,51.5115651,-0.1319044,0.0,0.0,0.0,0.0,1.0,0.0,0.0
307,51.500328,-0.19789,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1224,51.3309858,-0.533126400000015,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2296,51.441091,-0.3521309999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1745,51.5402350592,-0.1981335256,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5368,51.6507396,-0.0636649,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6238,51.4771547,-0.1674594,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4143,51.406987,-0.3077667,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7333,51.5128653,-0.4729148,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3370,51.438865,-0.114659,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6758,51.5890395,-0.1088986,0.0,0.0,0.0,0.0,1.0,0.0,0.0
982,51.5697456510319,-0.063815047423525,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1070,51.5977991319563,-0.1791996705349,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2537,51.47553,-0.2404639999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7346,51.6319231,-0.1278808,0.0,0.0,0.0,0.0,1.0,0.0,0.0
558,51.52056,-0.1018149999999999,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2487,51.469109,-0.2467069999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4400,51.4265889,0.1669501,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7882,51.6584896,-0.4003129,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1321,51.4968766,0.013086499999985,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7226,51.5393605,-0.0213169,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1160,51.6564363099901,-0.280544627577912,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3032,51.457695,-0.135161,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7675,51.4787077,-0.0257079,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4560,51.659722,-0.0593238,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2883,51.549775,-0.0698589999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1049,51.45131,0.18994,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4569,51.4620211,-0.1371949,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8018,51.4841358,-0.3006684,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6550,51.3266661,-0.2145625,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7227,51.3673955,0.054966,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3969,51.5577212,-0.0741699,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4071,51.40029,-0.3994708,0.0,0.0,0.0,1.0,0.0,0.0,0.0
900,51.590627,-0.147201,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6125,51.5201852,-0.1178185,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6441,51.5143223,-0.147705,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3111,51.576656,0.0651689999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1691,51.467819,-0.2830769999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1005,51.528936,0.170675,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6946,51.5093364,-0.195602,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4040,51.3497187,-0.2439984,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5388,51.5246,-0.083332,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1961,51.509779,-0.289518,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3472,51.4311,-0.130334,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2965,51.647798,-0.1309529999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6303,51.5432586,-0.0550835,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2837,51.535118,-0.165232,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5916,51.5133322,-0.0782294,0.0,0.0,0.0,0.0,1.0,0.0,0.0
569,51.521888,-0.080681,0.0,0.0,0.0,0.0,1.0,0.0,1.0
963,51.41536789732,-0.252047082942217,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3993,51.5578989,-0.0983024,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1873,51.45378,-0.137,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2608,51.487462,-0.270893,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4859,51.5015004,-0.078118,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3463,51.535475,-0.482433,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2338,51.449669,-0.155144,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6200,51.4704889,-0.0287953,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7829,51.5730958,-0.1997145,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45,51.401106,0.017653,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2698,51.497483,-0.250424,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7551,51.3252549,-0.2333009,0.0,0.0,0.0,0.0,1.0,0.0,0.0
943,51.3982658,-0.0750229999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5732,51.524929,-0.1102709,0.0,0.0,0.0,0.0,1.0,0.0,0.0
90,51.4445852964,-0.340895615491,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4152,51.6378064,-0.4686865,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1392,51.427932,-0.319719,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1104,51.5929030780624,-0.431903241951659,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6477,51.4271992,-0.0558708,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7641,51.586665,-0.2192503,0.0,0.0,0.0,0.0,1.0,0.0,0.0
186,51.485943,-0.271988,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4977,51.6153817,-0.1769428,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4133,51.5042192,-0.0218839,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5084,51.5230177,-0.0870287,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4733,51.5313871,-0.1320814,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6745,51.5298278,-0.1779769,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1242,51.512942,-0.000384,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6396,51.5093488,-0.1371041,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5205,51.4249355,-0.1640552,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6399,51.6081628,-0.3737217,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7716,51.5189194,-0.1964811,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1736,51.5329807333,-0.217725893789,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1132,51.3791413434248,-0.290330752323151,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5207,51.4364495,-0.160824,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5261,51.44844,-0.3355538,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7965,51.5408372,-0.0224209,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4657,51.4992931,-0.1983677,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3784,51.2875826,-0.4958703,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5078,51.5060058,-0.1378617,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3680,51.3123876,-0.250495,0.0,0.0,0.0,1.0,0.0,0.0,0.0
108,51.4543751,-0.1917143999999999,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4949,51.5937977,0.024834,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2684,51.496095,-0.1503769999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2921,51.564199,-0.000404,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1929,51.435336,-0.167948,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5522,51.4326898,-0.4183857,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6168,51.3223547,-0.2014174,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5555,51.4612179,-0.1671172,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3196,51.474913,0.093197,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3767,51.4920195,-0.140075,0.0,0.0,0.0,0.0,1.0,0.0,0.0
858,51.459766,-0.2184345,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4016,51.5686313,-0.1110363,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1790,51.496807,-0.051017,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4424,51.5514904,-0.4861293,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3658,51.675708770752,-0.020354269072413,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3408,51.528183,-0.191487,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5668,51.5114243,-0.1269714,0.0,0.0,0.0,0.0,1.0,0.0,0.0
906,51.645943,-0.4296359999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
420,51.509946,-0.005424,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5781,51.4619072,-0.1396654,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4589,51.5117846,-0.1081089,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2362,51.453801,-0.3963009999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7258,51.5064546,-0.1404253,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7392,51.4140595,-0.1241603,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3849,51.3989089,-0.0405328,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5061,51.5732699,0.0841129,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4023,51.2770934,0.1929878,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1342,51.591527,-0.283634,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7037,51.4671547,-0.1174639,0.0,0.0,0.0,0.0,1.0,0.0,0.0
